dataset,regime,u,f,s,draw,n_corrupted,restored_frac,n_clean,wrongly_flipped_frac,restored_frac_unmarked,n_unmarked,restored_frac_falsely_marked,n_falsely_marked,restored_frac_inverted_scale,n_inverted_scale
pilot_holdout,full,0.25,0.03,0.03,3,97,0.44329896907216493,642,0.01557632398753894,0.5238095238095238,63,0.6428571428571429,14,0.0,18
pilot_holdout,full,0.25,0.03,0.03,4,89,0.48314606741573035,650,0.02,0.546875,64,0.5714285714285714,14,0.0,10
pilot_holdout,full,0.25,0.03,0.03,5,110,0.34545454545454546,629,0.012718600953895072,0.5,62,0.35714285714285715,14,0.0,31
pilot_holdout,full,0.25,0.03,0.03,6,95,0.5263157894736842,644,0.015527950310559006,0.59375,64,0.8461538461538461,13,0.0,16
pilot_holdout,full,0.25,0.03,0.03,7,103,0.4368932038834951,636,0.02358490566037736,0.5538461538461539,65,0.5714285714285714,14,0.041666666666666664,24
pilot_holdout,full,0.25,0.03,0.03,8,88,0.5340909090909091,651,0.029185867895545316,0.5384615384615384,65,0.8461538461538461,13,0.0,9
pilot_holdout,full,0.25,0.03,0.03,9,100,0.4,639,0.028169014084507043,0.5,62,0.6153846153846154,13,0.047619047619047616,21
pilot_holdout,full,0.25,0.03,0.03,10,96,0.4583333333333333,643,0.027993779160186624,0.41935483870967744,62,0.9285714285714286,14,0.11764705882352941,17
pilot_holdout,full,0.25,0.03,0.03,11,94,0.5425531914893617,645,0.020155038759689922,0.65,60,0.7142857142857143,14,0.06666666666666667,15
pilot_holdout,full,0.25,0.03,0.03,12,102,0.45098039215686275,637,0.018838304552590265,0.6031746031746031,63,0.5384615384615384,13,0.0,23
pilot_holdout,full,0.25,0.03,0.03,13,88,0.4659090909090909,651,0.016897081413210446,0.46875,64,0.7142857142857143,14,0.0,9
pilot_holdout,full,0.25,0.03,0.03,14,95,0.4842105263157895,644,0.026397515527950312,0.5396825396825397,63,0.8461538461538461,13,0.0,16
pilot_holdout,full,0.25,0.03,0.03,15,116,0.3275862068965517,623,0.01765650080256822,0.4406779661016949,59,0.7857142857142857,14,0.0,37
pilot_holdout,full,0.25,0.03,0.03,16,107,0.411214953271028,632,0.028481012658227847,0.5806451612903226,62,0.5714285714285714,14,0.0,28
pilot_holdout,full,0.25,0.03,0.03,17,109,0.3853211009174312,630,0.012698412698412698,0.5517241379310345,58,0.5384615384615384,13,0.06666666666666667,30
pilot_holdout,full,0.25,0.03,0.03,18,93,0.44086021505376344,646,0.017027863777089782,0.5555555555555556,63,0.5,12,0.0,14
pilot_holdout,full,0.25,0.03,0.03,19,100,0.44,639,0.018779342723004695,0.53125,64,0.6428571428571429,14,0.0,21
pilot_holdout,full,0.25,0.03,0.03,20,90,0.5777777777777777,649,0.020030816640986132,0.71875,64,0.3076923076923077,13,0.0,11
pilot_holdout,full,0.25,0.03,0.03,21,105,0.44761904761904764,634,0.012618296529968454,0.6229508196721312,61,0.6153846153846154,13,0.038461538461538464,26
pilot_holdout,full,0.25,0.03,0.03,22,92,0.45652173913043476,647,0.017001545595054096,0.5076923076923077,65,0.6428571428571429,14,0.0,13
pilot_holdout,full,0.25,0.03,0.03,23,91,0.5494505494505495,648,0.030864197530864196,0.640625,64,0.6428571428571429,14,0.0,12
pilot_holdout,full,0.25,0.03,0.03,24,98,0.46938775510204084,641,0.0202808112324493,0.5714285714285714,63,0.7142857142857143,14,0.0,19
pilot_holdout,full,0.25,0.03,0.03,25,96,0.4375,643,0.01866251944012442,0.5396825396825397,63,0.6153846153846154,13,0.0,17
pilot_holdout,full,0.25,0.03,0.03,26,90,0.5222222222222223,649,0.020030816640986132,0.5692307692307692,65,0.6923076923076923,13,0.0,11
pilot_holdout,full,0.25,0.03,0.03,27,90,0.5,649,0.01848998459167951,0.4915254237288136,59,0.8461538461538461,13,0.0,11
pilot_holdout,full,0.25,0.03,0.03,28,102,0.45098039215686275,637,0.018838304552590265,0.6031746031746031,63,0.5384615384615384,13,0.043478260869565216,23
pilot_holdout,full,0.25,0.03,0.03,29,89,0.4943820224719101,650,0.021538461538461538,0.5230769230769231,65,0.6923076923076923,13,0.0,10
pilot_holdout,full,0.25,0.03,0.03,30,91,0.5384615384615384,648,0.020061728395061727,0.578125,64,0.8461538461538461,13,0.0,12
pilot_holdout,full,0.25,0.03,0.03,31,109,0.44036697247706424,630,0.020634920634920634,0.578125,64,0.7857142857142857,14,0.0,30
pilot_holdout,full,0.25,0.03,0.03,32,90,0.4888888888888889,649,0.02157164869029276,0.484375,64,0.8571428571428571,14,0.0,11
pilot_holdout,full,0.25,0.03,0.03,33,98,0.4897959183673469,641,0.0218408736349454,0.609375,64,0.6666666666666666,12,0.0,19
pilot_holdout,full,0.25,0.03,0.03,34,89,0.5730337078651685,650,0.018461538461538463,0.59375,64,0.8571428571428571,14,0.0,10
pilot_holdout,full,0.25,0.03,0.03,35,87,0.5057471264367817,652,0.02147239263803681,0.5079365079365079,63,0.7142857142857143,14,0.0,8
pilot_holdout,full,0.25,0.03,0.03,36,89,0.5842696629213483,650,0.02,0.640625,64,0.8461538461538461,13,0.0,10
pilot_holdout,full,0.25,0.03,0.03,37,92,0.4673913043478261,647,0.02627511591962906,0.5692307692307692,65,0.42857142857142855,14,0.0,13
pilot_holdout,full,0.25,0.03,0.03,38,109,0.3486238532110092,630,0.025396825396825397,0.45901639344262296,61,0.6153846153846154,13,0.0,30
pilot_holdout,full,0.25,0.03,0.03,39,90,0.5333333333333333,649,0.02773497688751926,0.6,65,0.6428571428571429,14,0.0,11
pilot_holdout,full,0.25,0.03,0.03,40,106,0.5,633,0.01579778830963665,0.5833333333333334,60,0.5714285714285714,14,0.2222222222222222,27
pilot_holdout,full,0.25,0.03,0.03,41,90,0.4,649,0.02465331278890601,0.4461538461538462,65,0.5384615384615384,13,0.0,11
pilot_holdout,full,0.25,0.03,0.03,42,101,0.5148514851485149,638,0.018808777429467086,0.640625,64,0.7142857142857143,14,0.0,22
pilot_holdout,full,0.25,0.03,0.03,43,95,0.5052631578947369,644,0.023291925465838508,0.5573770491803278,61,0.7857142857142857,14,0.0,16
pilot_holdout,full,0.25,0.03,0.03,44,113,0.4424778761061947,626,0.01437699680511182,0.6229508196721312,61,0.5714285714285714,14,0.029411764705882353,34
pilot_holdout,full,0.25,0.03,0.03,45,88,0.5681818181818182,651,0.02457757296466974,0.5873015873015873,63,0.7857142857142857,14,0.0,9
pilot_holdout,full,0.25,0.03,0.03,46,90,0.5444444444444444,649,0.023112480739599383,0.609375,64,0.6428571428571429,14,0.0,11
pilot_holdout,full,0.25,0.03,0.03,47,94,0.46808510638297873,645,0.018604651162790697,0.6440677966101694,59,0.42857142857142855,14,0.0,15
pilot_holdout,full,0.25,0.03,0.03,48,100,0.49,639,0.017214397496087636,0.6349206349206349,63,0.5714285714285714,14,0.047619047619047616,21
pilot_holdout,full,0.25,0.03,0.03,49,89,0.48314606741573035,650,0.026153846153846153,0.5873015873015873,63,0.42857142857142855,14,0.0,10
pilot_holdout,full,0.5,0.03,0.03,0,158,0.3227848101265823,581,0.04130808950086059,0.272,125,0.7857142857142857,14,0.14285714285714285,14
pilot_holdout,full,0.5,0.03,0.03,1,155,0.3419354838709677,584,0.02910958904109589,0.3230769230769231,130,0.7857142857142857,14,0.0,11
pilot_holdout,full,0.5,0.03,0.03,2,151,0.32450331125827814,588,0.0391156462585034,0.272,125,0.7142857142857143,14,0.0,7
